paper_id,preceding,target,trailing,url,Label,location,split
1005.4552,"There is a central repository on our server with the stable branch, and the master branch.","This repository can be (using post-commit hook) kept in sync with a version published at, say, GitHub (http://github.com, a high-profile web site for collaborative Git-based development) or other easily accessible public Git repository web sites.","Anybody can clone the published copy from such public locations, saving us some of the responsibility for maintaining access and sufficient bandwidth to our repositories.",http://github.com,0.0,body,test
1101.3314,"AM is supported by NASA through Hubble Fellowship grant HSTHF-51245.01-A, awarded by the Space Telescope Science Institute, which is operated by the Association of Universities for Research in Astronomy, Inc., for NASA, under contract NAS 5-26555.",This work made use of the CosmoloPy package (http://roban.github.com/CosmoloPy/).,,http://roban.github.com/CosmoloPy/,3.0,body,train
1102.093,"Klein and Nelson have shown [8, 10] that search engines can be used to approximate DF for the purpose of lexical signature calculation.",|D| was estimated using the numbers for the Yahoo! index taken from http://www.worldwidewebsize.com/ on 11/1/2010.,,http://www.worldwidewebsize.com/,1.0,body,test
1102.3177,We have verified this formula computationally up to n = 10 (the largest n for which the calculations terminated) using the mathematics software SAGE [15].,Source code for this and related f-vector calculations may be downloaded from: https://github.com/terhorst/kalmanson.,,https://github.com/terhorst/kalmanson,4.0,body,train
1104.0984,"We have implemented this modified kD tree proposal as one of many jump proposals in the LALInferenceMCMC sampler (van der Sluys et al. 2008, Raymond et al. 2010, Raymond 2012, Veitch et al. 2015).","LALInferenceMCMC is a MCMC code, based on the LIGO algorithms library (http://www.lsc-group.phys.uwm.edu/lal), designed to sample the posterior on parameters of merging compact-object binaries (masses, sky location, orbital orientation, distance, etc.) encoded in their gravitational-wave signatures as observed by the ground-based gravitational-wave detectors LIGO (Harry, G. M. & the LIGO Scientific Collaboration 2010) and Virgo (Virgo Collaboration 2009).","encoded in their gravitational-wave signatures as observed by the ground-based gravitational-wave detectors LIGO (Harry, G. M. & the LIGO Scientific Collaboration 2010) and Virgo (Virgo Collaboration 2009).",http://www.lsc-group.phys.uwm.edu/lal,3.0,body,test
1104.0984,,"We have made our implementation of the technique described in this paper publicly available online at http://github.com/farr/mcmc-ocaml, and also in the LALInferenceMCMC sampler. ",We welcome readers to take advantage of this toolkit.,http://github.com/farr/mcmc-ocaml,4.0,body,test
1104.0984,,"We have made our implementation of the technique described in this paper publicly available online, and also in the LALInferenceMCMC sampler, at https://www.lsc-group.phys.uwm.edu/daswg/projects/lalsuite.html. ",We welcome readers to take advantage of this toolkit.,https://www.lsc-group.phys.uwm.edu/daswg/projects/lalsuite.html,4.0,body,test
1105.0902,"Following the example of high quality scientific Python packages, such as NetworkX and SciPy, the GMM package is open-source and fully unit-tested.","All of the code is free to inspect and download at this website: https://github.com/drewconway/gmm, which includes all unit-tests to verify all function’s execution.",The software is also listed in Python’s official package index at http://pypi. python.org/pypi/GMM.,https://github.com/drewconway/gmm,4.0,body,test
1105.0902,"All of the code is free to inspect and download at this website: https://github.com/drewconway/gmm, which includes all unit-tests to verify all function’s execution.",The software is also listed in Python’s official package index at http://pypi. python.org/pypi/GMM.,"Before any implementation of the GMM can proceed, it will be necessary to have a means for representing complex networks computationally in the Python language",http://pypi.python.org/pypi/GMM,4.0,body,test
1105.0902,The software is also listed in Python’s official package index at http://pypi. python.org/pypi/GMM.,"Detailed descriptions of the algorithms, their requirements, and additional examples are provided in the GMM package documentation, which can be viewed here: http://www.drewconway.com/gmm/.",In the next section a very basic GMM model is specified and simulated using this software.,http://www.drewconway.com/gmm/.,3.0,body,test
1107.4721,It turns out that this approach is rather slow; we needed to develop various heuristics to make the brute-force computation smarter.,"mizar-items is accompanied by a website, http://mizar.cs.ualberta.ca/mizar-items/",,http://mizar.cs.ualberta.ca/mizar-items/,0.0,body,test
1107.5095,,"The ordination and clustering methods presented here are implemented in the guppy binary as part of the pplacer package, available on the pplacer website at http://matsen.fhcrc.org/pplacer/.",,http://matsen.fhcrc.org/pplacer/,4.0,body,test
1107.5095,Aaron Gallagher co-developed the guppy framework and helped write the simulation code to validate squash clustering.,Graphics made with ggplot2 [18] and the archaeopteryx tree viewer (http://www.phylosoft.org/archaeopteryx/).,"The first author was supported in part by NIH grant HG005966-01, and the second author was supported in part by NSF grant DMS-09-07630.",http://www.phylosoft.org/archaeopteryx/,3.0,body,test
1107.5095,These are then used to compare squash clustering to UPGMA.,The code for these simulations can be found on the commiesim branch of pplacer at http://github.com/matsen/pplacer/tree/commiesim.,,http://github.com/matsen/pplacer/tree/commiesim,4.0,body,test
1108.0047,"Even on the largest dataset, our program has never used more 30 seconds or more than 250MB of memory.",Our implementation is available under AGPLv3 at http://algolab.github.com/RNA-Seq-Graph/.,,http://algolab.github.com/RNA-Seq-Graph/,4.0,body,train
1111.1724,"Funding for the SDSS and SDSS-II has been provided by the Alfred P. Sloan Foundation, the Participating Institutions, the National Science Foundation, the U.S. Department of Energy, the National Aeronautics and Space Administration, the Japanese Monbukagakusho, the Max Planck Society, and the Higher Education Funding Council for England.",The SDSS Web Site is http://www.sdss.org/.,,http://www.sdss.org/,0.0,body,test
1111.5596,,A modified QUDA including call wrappers to QDP++ memory management is available at: https://github.com/fwinter/quda,,https://github.com/fwinter/quda,4.0,body,test
1111.6583,"In the FiPy package, parallelism is achieved by using an existing parallel library (Trilinos) through its Python bindings [6].","PyClaw takes an approach similar to that of FiPy, in which all parallel operations over distributedmemory processes are handled by the PETSc library through the petsc4py Python package (http://code.google.com/p/petsc4py/).","This approach offers the advantages of utilizing a documented, well-designed abstract parallel interface for developers that is already known to achieve excellent scaling on many architectures.",http://code.google.com/p/petsc4py/,3.0,body,test
1111.6583,,"A repository containing the data, software, and hardware environments for reproducing all experimental results and figures in this paper is available online (http://bitbucket.org/ahmadia/pyclaw-sisc-rr). ",The most recent release of the PyClaw code is hosted at http://github.com/clawpack/pyclaw and can be installed alongside its dependencies in the clawpack distribution in a few minutes with the following pip commands (pip is a freely available Python package installer and manager),http://bitbucket.org/ahmadia/pyclaw-sisc-rr,5.0,body,train
1111.6583,"The unsplit multidimensional Clawpack algorithms include additional correction terms, computed by a secondary “transverse” Riemann solver, which approximates corner transport terms.","The Clawpack software (http://www.clawpack.org) and its extensions, consisting of open source Fortran code, have been freely available since 1994."," More than 7,000 users have registered to download Clawpack.",http://www.clawpack.org,3.0,body,test
1111.6583,"These “application tests” produce the same output regardless of the choice of solver type, kernel implementation, or computer architecture.",The python-nose (http://code.google.com/p/python-nose/) unit testing framework simplifies development and selective execution of the tests.,Programmatic test code generation is used to exercise the full range of solver and kernel options for each test.,http://code.google.com/p/python-nose/,3.0,body,test
1111.6583,,"There are many excellent open source distributed version control hosting sites, including Bitbucket (http://www.bitbucket.org) and GitHub (http://www.github.org), which provide a range a services to both developers and community users.","PyClaw leverages the services provided at GitHub, which includes wiki webpages for user communication, as well as a bug reporting and tracking infrastructure integrated with the hosted version control repository.",http://www.bitbucket.org,3.0,body,test
1111.6583,"While this paper provides a high-level overview of the capabilities of the code and its application, it is our experience from using other projects that the best software documentation includes a separate tutorial and user’s guide with a class reference section.","The tutorial and user’s guide are maintained in the ReStructured Text format, from which they can be translated into HTML, PDF, and several other output formats using for instance Sphinx (http://sphinx.pocoo.org/).","The PyClaw code itself is documented inline using Python’s docstring conventions, allowing us to automatically generate class and module reference sections for our documentation.",http://sphinx.pocoo.org/,3.0,body,test
1111.6583,,"Our use of git (http://git-scm.com/), a modern, distributed version control system, provides many benefits.","Development need not be synchronized through a master server, which makes it easier to incorporate subprojects from developers loosely attached to the core team.",http://git-scm.com/,3.0,body,test
1111.6583,The bubble is observed to transform into a “smoke ring”.,Considerably more detailed structure is evident in this simulation compared to lower-resolution adaptively refined results from AMRClaw that are published at http://depts.washington.edu/clawpack/clawpack-4. 3/applications/euler/2d/shockbubble/amr/www/index.html.,"Figure 7.3 shows a closeup of the smoke ring solution obtained with the classic Clawpack algorithm, as well as solutions obtained using the SharpClaw algorithm with fifth- (WENO5) and seventh-order (WENO7) reconstructions.",http://depts.washington.edu/clawpack/clawpack-4,1.0,body,test
1202.3074,,"For ease of use, Conedy can be interfaced with an inbuilt script interpreter or via Python bindings (http://www.python.org).",The inbuilt script interpreter may be useful for distributed computing.,http://www.python.org,3.0,body,test
1202.3074,"It provides support for creating Condor dagman job files, thereby converting the iterations of loops into different jobs.",Condor (http://www.cs.wisc.edu/condor) is a job management system developed at the Computer Science Department of the University of Wisconsin.,"Python is a free, open source, cross-platform programming language and has become a viable alternative to Matlab and Octave recently.",http://www.cs.wisc.edu/condor,3.0,body,test
1202.3074,,Conedy is written in C++ and licensed under the GNU license (http://www.gnu.org/copyleft/gpl.html).,Conedy is distributed as source code and as binary packages for Windows and Linux.,http://www.gnu.org/copyleft/gpl.html,0.0,body,train
1202.3074,,"Conedy is distributed as source code and as binary packages for Windows and Linux (http://www.conedy.org, http://www.github.com/conedy/conedy).","Conedy is not intended to contain plotting routines or support for other forms of visualization, which are excellently handled by other free software packages.",http://www.conedy.org,4.0,body,train
1202.3074,"The complicated relationship between network structure, dynamics of components, and emerging global behavior requires tailored tools that aid in unraveling new phenomena and in verifying hypotheses and analytical results.",Conedy (http://www.conedy.org) is a new scientific tool that allows to investigate dynamics on complex networks.,"In this paper, we give an overview of the functionality of Conedy and demonstrate its working procedure.",http://www.conedy.org,4.0,body,test
1203.5486,"This publication has been made possible by the participation of more than 35,000 volunteers on the Milky Way Project.",Their contributions are acknowledged individually at http://www.milkywayproject.org/authors.,,http://www.milkywayproject.org/authors,0.0,body,test
1203.6364,,"We obtained the ALLPATHS-LG NA12878 contigs from NCBI (AC:AEKP01000000), the SGA and SOAPdenovo scaffolds from http://bit.ly/jts12878 (Simpson and Durbin, 2012), and the HuRef assembly (Levy et al., 2007) for the comparison to the traditional capillary assembly.","For the SGA and SOAPdenovo scaffolds, we split at any ambiguous bases to get contigs; for the HuRef assembly, we split at contiguous ‘N’ longer than 20bp.",http://bit.ly/jts12878,1.0,body,test
1204.1461,,Supplementary material http://www.itn.liu.se/~stegu/jgt2011/supplement.pdf,,http://www.itn.liu.se/~stegu/jgt2011/supplement.pdf,0.0,body,test
1204.307,"We computed all vertices and all rays for the cases T = 12, 7, 20, 9, 16, 11.",The software to generate the design matrices can be found at https://github.com/dchaws/GenWordsTrans and the design matrices and some other material can be found at http://www.davidhaws.org/THMC.html.,By our computational result and Lemma 38 we verified the following proposition.,"https://github.com/dchaws/GenWordsTrans, http://www.davidhaws.org/THMC.html",4.0,body,test
1205.208,"The NRAO is a facility of the National Science Foundation operated under cooperative agreement by Associated Universities, Inc.","The European VLBI Network (http://www.evlbi.org/) is a joint facility of European, Chinese, South African, and other radio astronomy institutes funded by their national research councils.","This work made use of the Swinburne University of Technology software correlator, developed as part of the Australian Major National Research Facilities Programme and operated under licence.",http://www.evlbi.org/,0.0,body,test
1205.2708,"Finally, one advantage of MCMC that APS cannot overcome is its comparative ease to implement.","To this end, we make our code available at https://github.com/uwssg/APS/.",The code is presented as a series of C++ classes with directions indicating where the user can interface with the desired ~θ → χ 2 function.,https://github.com/uwssg/APS/,4.0,body,test
1205.5025,,"The web service [44] available at www.fragit.org enables users to upload their structure, fragment it and download the resulting input file to GAMESS.",,www.fragit.org,3.0,body,test
1205.6769,"The data presented in this paper are the result of the efforts of the Planet Hunters volunteers, without whom this work would not have been possible.",Their contributions are individually acknowledged at http://www.planethunters.org/authors.,The authors thank the Planet Hunters volunteers who participated in our Round 2 Review.,http://www.planethunters.org/authors,0.0,body,test
1205.6769,The authors thank the Planet Hunters volunteers who participated in our Round 2 Review.,They are individually recognized at http://www.planethunters.org/Q1round2review.,,http://www.planethunters.org/Q1round2review,0.0,body,test
1205.6921,"Although this paper explains our approach in full detail, we emphasize that the final results are simple and can be used widely by other researchers to calculate pair potentials and binding configurations of general DNACCs.","To this end, we have made freely available a complete and well-documented Python implementation of the theory, which can be found at http: //github.com/patvarilly/DNACC.",,github.com/patvarilly/DNACC,4.0,body,test
1205.6921,"For ease of reference, in this section we summarize the main results of the paper.","These results are implemented in the Python package DNACC, available at http://github.com/patvarilly/DNACC.",,http://github.com/patvarilly/DNACC,4.0,body,test
1205.6921,"Whereas for simple potentials one can envision a manual search of parameter space guided by intuition and experience, it might also be possible to recast the problem in terms of a global minimization algorithm that optimizes the DNACC structures to obtain interaction potentials that are close to some target.","It is precisely to help others easily use our tools in these and other ways that we have written a comprehensive and well documented series of Python modules that implement our theory, available under the GNU license at http://github.com/patvarilly/DNACC.",,http://github.com/patvarilly/DNACC,4.0,body,test
1206.1339,,Undefined SKOS Resources The SKOS model is defined within the namespace http://www.w3.org/2004/02/skos/core#.,"However, some vocabularies use resources from within this namespace, which are unresolvable for two main reasons: vocabulary creators “invented” new terms within the SKOS namespace instead of introducing them in a separate namespace, or they use “deprecated” SKOS elements like skos:subject.",http://www.w3.org/2004/02/skos/core#,0.0,body,test
1206.2245,It requires essentially no installation beyond unpacking a tarball and adding the new directory to the shell PATH variablez,The latest incarnation of pippi can always be found at http://github.com/patscott/pippi.,,http://github.com/patscott/pippi,4.0,body,test
1207.3914,The open source library largenet2 is under ongoing development.,It is set up as a community effort and contributions are welcome at http://github.com/rincedd/largenet2.,,http://github.com/rincedd/largenet2,4.0,body,test
1208.1027,,Dozens of simulations are available (search http://www.merlot.org/).,Some display what would be seen in a laser experiment—without showing the waves interacting.,http://www.merlot.org/,0.0,body,test
1208.233,An MR imaging illustration also corroborates these conclusions for Fourier imaging.,Code and test data are available at https://github.com/basp-group/sopt.,,https://github.com/basp-group/sopt,5.0,body,train
1208.353,,Chronicling America (http://chroniclingamerica.loc.gov/) is a website that provides access to over 3 million historic newspapers scanned by the National Digital Newspaper Program (NDNP).,"It is an initiative of the National Endowment for Humanities (NEH) and the Library of Congress (LC) and its goal is to develop an online, searchable database of historically significant newspapers between 1836 and 1922.",http://chroniclingamerica.loc.gov/,0.0,body,test
1208.353,,"For our experiments, we used the WekaUT extension for Weka from http://www.cs.utexas.edu/users/ml/risc/code/.",,http://www.cs.utexas.edu/users/ml/risc/code/,3.0,body,test
